trade_id,pnl_pct,won,ret_1,ret_2,ret_3,ret_5,ret_8,ret_13,ret_21,log_ret_1,ret_z_5,ret_z_20,dist_sma5,dist_sma8,dist_sma10,dist_sma20,dist_sma34,dist_sma50,dist_sma100,dist_sma200,dist_ema5,dist_ema9,dist_ema12,dist_ema21,dist_ema26,dist_ema50,dist_ema100,dist_ema200,dist_wma10,dist_hma9,dist_dema9,dist_tema9,z_ema9,z_ema12,z_ema21,z_ema26,z_ema50,ema_spread_9_21,ema_spread_21_50,price_ma_cross_9_21,bb_pct,bb_width,bb_width_z,bb_up_dist,bb_low_dist,in_upper_band,in_lower_band,kc_pos,kc_width,dc_pos20,dc_width20,dc_pos50,dc_width50,macd,macd_signal,macd_hist,macd_hist_z,macd_ratio,ppo,adx14,pdi14,mdi14,di_diff,adx_sma5,aroon_up14,aroon_dn14,aroon_osc14,aroon_up25,aroon_dn25,aroon_osc25,cci14,cci20,dpo20,trix9,tsi,vi_plus,vi_minus,vi_diff,rsi_2,rsi_7,rsi_14,rsi_21,rsi_14_z,stoch_k,stoch_d,stoch_j,stoch_rsi,stoch_rsi_k,momentum_3,momentum_5,momentum_10,momentum_20,momentum_50,roc_3,roc_5,roc_10,roc_12,roc_24,roc_50,cmo14,williams_r,elder_bull,elder_bear,awesome,ppo_mom,atr_7,atr_14,atr_21,atr14_pct,atr14_sma,std_5,realized_vol_5,std_10,realized_vol_10,std_20,realized_vol_20,std_50,realized_vol_50,parkinson_10,parkinson_20,garman_klass_10,vol_ratio_20,vol_z_20,body,body_pct,upper_wick,lower_wick,up_wick_pct,low_wick_pct,body_ratio,body_pos,range_pct,gap,gap_pct,bull,bear,doji,hammer,shooting_star,marubozu,engulf_bull,engulf_bear,harami,close_vs_open_pos,hl_position_20,up_streak,dn_streak,streak_diff,skew_10,kurt_10,skew_20,kurt_20,skew_50,kurt_50,autocorr_1_10,autocorr_5_20,entropy_10,entropy_20,entropy_30,hurst_20,pct_rank_20,pct_rank_50,q25_dist,q75_dist,fisher,fisher_sig,inv_fisher,hour_sin,hour_cos,lag_ret1_1,lag_rsi14_1,lag_macdhist_1,lag_bbpct_1,lag_atrpct_1,lag_volz_1,lag_ret1_2,lag_rsi14_2,lag_macdhist_2,lag_bbpct_2,lag_atrpct_2,lag_volz_2,lag_ret1_3,lag_rsi14_3,lag_macdhist_3,lag_bbpct_3,lag_atrpct_3,lag_volz_3,lag_ret1_4,lag_rsi14_4,lag_macdhist_4,lag_bbpct_4,lag_atrpct_4,lag_volz_4,ret_ma5,ret_ma10,prev_bar_body,prev_bar_range,prev_bar_close_pos,er_10,er_20,mfi_proxy_14,cmf_proxy_14,macd_cross,macd_hist_slope,dow_sin,dow_cos,session_asia,session_london,session_ny,rsi_7_z,ret_10,dist_high_20,dist_low_20,hl_ratio_5,avg_body_ratio_10
1,-0.0586,0,-0.14202,0.02888,0.09128,-0.07711,0.0193,0.02115,0.08601,-0.14213,0.03221,-0.12161,0.02523,0.03963,0.02074,0.0006,-0.00194,-0.0057,0.0067,0.37584,-0.0076,0.00937,0.00666,-0.00251,-0.00412,-0.00154,0.02704,0.12946,0.01646,-0.03133,-0.00487,-0.07209,-0.27349,-0.09065,0.02653,-0.00032,-0.00513,0.00547,0.00047,-0.01388,0.03563,-0.11976,-0.37835,-0.01052,-0.06946,0.06484,-0.11944,-0.01428,0.04517,-0.00537,-0.01333,-0.00117,0.06652,0.01019,0.01903,0.01231,0.00069,0.00985,0.00972,-0.02525,-0.05217,-0.06683,-0.06985,-0.1203,-0.54563,-0.0438,-0.28527,0.13008,-0.12336,0.00563,0.1109,0.01491,0.00068,0.01338,0.00718,-0.02557,0.04275,0.00027,-0.155,-0.06611,-0.00789,0.00042,0.00456,0.03496,-0.00188,-0.0715,-0.372,-0.09762,0.09072,-0.07654,-0.01288,0.02768,-0.08048,0.09128,-0.07711,-0.01323,-0.0202,0.00329,-0.07883,-0.00789,0.03496,0.01943,0.02546,0.00814,0.00972,-0.04047,0.00248,0.02551,0.01515,-0.03736,0.08042,-0.35886,-0.10363,-0.05037,-0.12105,0.01192,-0.01419,0.00874,0.17126,0.08814,0.3929,0.01586,-0.00433,-0.10082,-0.09901,-0.00203,-0.0133,-0.05292,-0.05158,-0.33733,-0.09873,-0.00408,0.36769,0.36732,0.00178,0.00178,0.09875,0.0,-0.13478,0.06013,-0.00984,-0.03157,-0.17601,-0.09896,-0.00537,0.1646,-0.01269,0.04277,-0.01004,0.01886,0.15041,-0.15381,-0.04908,0.05823,-0.07595,-0.21241,-0.25067,0.01773,-0.11207,0.19162,0.0375,0.00541,-0.03373,0.01408,0.01512,-0.0336,0.01924,0.22014,0.54525,0.12082,-0.00055,-0.02254,-0.03978,0.03481,0.00437,0.03787,0.00391,-0.0251,-0.03853,0.00703,0.01372,-0.04767,0.01494,-0.02565,0.01249,0.00464,0.01075,0.06128,0.01686,-0.04605,-0.01188,-0.02888,-0.06621,-0.14202,-0.07673,0.16369,-0.0103,0.12082,0.03363,-0.05565,-0.01669,1.04913,-0.29154,-0.02044,-0.04061,-0.04061,0.0,0.0,0.0,-0.04781,-0.01323,-0.00043,-0.00502,-0.00582,-0.04151
2,0.1355,1,-0.01667,-0.01377,0.01214,-0.06028,0.03313,0.06007,0.06001,-0.01673,-0.01385,-0.02216,0.00284,0.02292,0.01564,0.00127,-0.00269,-0.00763,0.00775,0.38237,-0.00223,0.00539,0.00474,-0.00244,-0.00443,-0.00193,0.03068,0.13855,0.00784,0.03172,-0.00077,0.02945,-0.12269,-0.05307,0.07071,0.00587,-0.00257,-0.00353,-0.00044,-0.01388,0.09354,0.05525,0.18616,0.04683,-0.0353,0.06484,-0.11944,-0.01349,0.0192,0.02104,-0.00273,-0.00303,0.06653,-0.00162,0.00984,0.06545,0.00231,-0.00175,-0.00165,-0.01164,-0.06523,-0.12069,-0.11027,-0.02626,0.50366,0.03349,0.25366,0.19807,-0.04814,0.00563,0.11841,0.04716,7e-05,0.00026,-0.00014,0.0716,0.13514,0.10082,-0.00881,-0.05024,-0.00868,0.00053,0.00468,0.03278,0.11449,-0.01125,-0.21759,-0.10321,0.0121,-0.05986,-0.02908,0.02531,-0.04415,0.01214,-0.06028,-0.02991,-0.02109,-0.02367,-0.04311,-0.00868,0.03278,0.02645,0.04221,-0.00349,-0.00165,-0.00752,0.00055,0.00753,0.00539,-0.01114,-0.09622,-0.0568,0.00456,-0.07449,0.0519,-0.00347,-0.01408,0.01899,0.23726,0.18189,0.06808,-0.02044,0.0062,0.01269,0.01241,0.23736,-0.00191,0.54003,-0.00502,0.32702,0.01246,0.02076,-0.47946,-0.47822,-0.00178,-0.00178,0.09875,0.0,0.53912,0.06013,-0.00984,-0.03157,0.4526,0.01245,0.02104,0.00531,-0.01269,0.01163,-0.0042,0.04534,0.13173,0.10165,-0.03841,0.06649,0.07558,0.2984,-0.16866,-0.13613,-0.06905,0.21871,0.05755,0.00329,-0.03861,0.07035,0.07823,0.08964,0.10049,0.10307,0.15106,-0.15922,0.00272,0.06344,0.08617,-0.00441,-0.01348,0.13216,-0.00839,0.02737,0.07054,-0.00075,0.03248,-0.05688,-0.01206,0.00575,-0.00713,0.04401,-0.00155,-0.1756,0.00054,-0.00953,-0.00155,0.17171,0.01968,-0.01667,-0.06001,-0.23983,0.00286,-0.15922,-0.00956,-0.09926,0.06961,1.07778,-0.29154,-0.00241,-0.04061,-0.04061,0.0,0.0,0.0,-0.03227,-0.02991,0.00044,-0.00701,-0.00027,-0.06181
3,0.1299,1,0.20978,-0.03429,-0.18133,0.14095,-0.021,-0.01927,0.14412,0.21001,-0.02553,0.13203,-0.03787,-0.06073,-0.0303,-0.00198,0.01358,0.03053,-0.01185,0.14435,0.01145,-0.01498,-0.01176,0.00621,0.01171,0.0046,-0.02456,-0.00054,-0.02516,0.04512,0.00613,0.1111,0.26067,0.07513,-0.23994,-0.06415,-0.04747,0.00592,0.00046,-0.01388,-0.2519,0.1317,0.38722,-0.02403,0.13389,0.06484,0.25381,0.033,-0.04305,-0.19109,0.02232,0.0359,0.05049,0.00855,0.00832,-0.02979,-0.00109,0.0083,0.00815,0.02379,0.05379,0.14879,0.12136,0.01578,0.24134,-0.14685,-0.10563,0.22073,-0.22365,0.00985,-0.20729,-0.10094,0.00531,0.00109,0.00537,-0.03719,0.01276,-0.0193,0.14425,0.10227,0.02236,-0.00141,-0.01578,-0.05176,-0.10498,0.05415,0.31297,0.06927,-0.18037,0.14018,0.00631,0.04114,0.07387,-0.18133,0.14095,0.00651,0.02549,-0.05419,0.07261,0.02236,-0.05176,-0.03297,-0.05726,0.00692,0.00815,0.0602,-0.0038,-0.03511,-0.01769,0.04846,0.54261,-0.10908,0.08828,0.14266,0.1275,-0.01695,-0.01241,0.00279,0.1145,0.16927,0.09885,0.0174,0.07268,0.12357,0.12161,-0.17253,-0.00609,-0.37553,-0.03112,-0.43032,0.12114,-0.04024,-0.0074,-0.00724,-0.00178,-0.00178,0.09875,0.0,-0.13478,0.06013,-0.00984,-0.03157,-0.17601,0.12143,-0.19109,-0.04779,0.02463,-0.0299,0.08329,-0.00988,-0.05748,0.06404,-0.03107,0.03976,0.05172,0.58015,-0.16866,0.03766,-0.14023,0.30963,-0.08282,0.01919,0.08771,-0.06004,-0.00404,0.04825,-0.00631,0.10307,0.15106,-0.09401,-0.00419,0.01068,-0.1775,-0.01678,-0.01691,-0.24222,0.00365,0.01989,-0.03793,-0.0236,0.09357,-0.00731,-0.01313,0.02506,-0.01607,0.01561,0.00304,0.20597,-0.00773,0.03296,0.00646,-0.01998,-0.06242,0.20978,0.14049,-0.12151,-0.01135,-0.09401,0.02778,0.00521,-0.01095,1.04194,0.31584,0.02403,-0.04061,-0.04061,0.0,0.0,0.0,0.07452,0.00651,-0.00157,0.03433,-0.19822,-0.09103
4,-0.0649,0,0.02097,-0.04815,-0.1705,0.16968,-0.09395,-0.14031,0.15086,0.02094,0.03518,-0.00466,-0.03989,-0.08922,-0.05708,-0.00484,0.02697,0.06322,-0.02962,-0.07561,0.01387,-0.02378,-0.02056,0.01213,0.02346,0.00996,-0.07308,-0.12678,-0.03575,-0.00351,0.00558,0.03549,0.20246,0.07468,-0.27746,-0.10348,-0.0681,0.02459,0.00298,-0.01388,-0.27589,-0.13431,-0.4557,-0.16186,0.16271,0.06484,0.25381,0.05931,-0.13366,-0.1576,-0.06539,0.03024,-0.01626,0.03265,0.02396,-0.15468,-0.00492,0.03218,0.0314,-0.13098,0.12851,0.33653,0.27824,-0.02203,-0.02099,-0.14685,-0.21342,0.22073,-0.22365,0.00985,-0.36254,-0.20219,0.00988,0.01823,0.01703,-0.10453,-0.05324,-0.08977,0.15136,0.16273,0.04079,-0.00273,-0.02389,-0.04319,-0.14198,0.01907,0.38291,0.15021,-0.16908,0.16838,0.05606,0.05128,0.15268,-0.1705,0.16968,0.05764,0.0657,-0.07893,0.14983,0.04079,-0.04319,-0.10844,-0.1418,0.02999,0.0314,0.14335,-0.00984,-0.09702,-0.04944,0.12654,0.90722,0.07804,0.59782,0.26558,-0.13457,-0.05774,-0.00628,-0.0665,-0.17329,-0.02021,-0.18799,-0.02683,0.09915,-0.00864,-0.00855,-0.1312,0.02374,-0.27509,0.11309,0.48143,-0.00854,0.03113,0.44424,0.4459,0.00178,0.00178,-0.60661,0.0,-0.13478,0.06013,-0.00984,-0.03157,0.4526,-0.00849,-0.1576,-0.04779,0.06194,-0.06104,0.10944,0.0452,-0.31153,0.59115,-0.16282,-0.34441,0.12105,0.44052,-0.16866,0.06268,-0.06905,0.28974,-0.08282,0.01919,0.20018,-0.20021,-0.0798,-0.0805,-0.09957,0.10307,0.15106,-0.4614,-0.01341,-0.12652,-0.48513,-0.12916,-0.07059,-0.11287,0.01275,-0.03222,-0.16481,-0.00871,0.02856,0.08225,0.02877,-0.00954,0.03729,-0.0515,0.03207,0.11713,0.00973,0.00689,-0.01031,-0.08041,-0.07818,0.02097,0.16916,-0.59192,0.0483,-0.4614,-0.05961,0.05957,-0.0527,0.90747,0.31584,0.01926,-0.04061,-0.04061,0.0,0.0,0.0,0.10219,0.05764,-0.00629,0.02274,-0.35534,-0.09955
5,-0.0629,0,-0.29987,0.02599,0.03305,0.06091,-0.05474,-0.17643,0.13581,-0.29994,0.05205,-0.19164,0.01653,-0.01211,-0.01905,-0.00319,0.0201,0.04983,-0.02504,-0.03669,-0.00209,-0.00557,-0.00761,0.00684,0.01451,0.00728,-0.05624,-0.09293,-0.00231,-0.09266,-0.00436,-0.1543,0.05917,0.02846,-0.12663,-0.05702,-0.04404,0.03244,0.00514,-0.01388,-0.12412,-0.32921,-0.80678,-0.1606,0.01976,0.06484,0.25381,0.03263,-0.12343,-0.11282,-0.07249,0.02316,-0.02177,0.04671,0.04774,-0.15078,-0.00391,0.04605,0.04501,-0.18436,-0.01733,0.18014,0.10178,-0.14041,-0.28331,-0.12109,-0.28527,-0.09654,-0.19858,0.00193,-0.15439,-0.11631,0.00804,0.03561,0.02426,-0.12415,-0.0443,-0.09907,-0.08051,0.05985,0.02372,-0.0018,-0.00838,-0.03172,-0.13208,0.00067,0.11715,0.11572,0.03275,0.06028,0.05981,0.05271,0.09892,0.03305,0.06091,0.06145,0.08182,-0.04029,0.09741,0.02372,-0.03172,-0.04476,-0.09347,0.04349,0.04501,0.11287,-0.00851,-0.08956,-0.04251,0.10695,-0.03404,0.7414,0.59182,0.33,-0.32612,-0.08612,1e-05,-0.09953,-0.39185,-0.09761,-0.04334,0.04142,0.06819,-0.16986,-0.16763,0.06083,-0.0133,-0.1084,-0.05158,-0.37395,-0.16699,-0.11146,-0.11712,-0.1175,0.00178,0.00178,0.09875,0.0,-0.13478,0.06013,0.06045,-0.03157,-0.17601,-0.16767,-0.11282,0.00531,-0.01269,0.01163,-0.04843,0.05298,-0.17602,-0.21471,-0.19521,-0.29679,0.11596,-0.00132,0.18386,0.06268,-0.08834,0.31263,-0.04271,0.01495,0.08117,-0.16482,-0.09797,-0.12181,-0.11854,0.10307,0.15106,-0.09823,-0.0155,-0.19218,-0.32022,-0.02378,-0.00254,-0.09821,0.0204,-0.08872,-0.15155,-0.03724,0.06641,0.00757,0.05365,-0.05492,0.04099,-0.14385,0.04362,0.61773,0.03301,-0.06092,-0.02989,-0.62971,-0.32511,-0.29987,0.06055,-0.10712,-0.02018,-0.09823,-0.06196,0.02064,-0.06188,0.7689,0.31584,-0.02115,-0.04061,-0.04061,0.0,0.0,0.0,0.00762,0.06145,-0.00555,0.00914,-0.06576,-0.11566
6,-0.0597,0,-0.10167,0.01963,0.03637,-0.0711,-0.01292,-0.18759,0.1042,-0.10178,0.00675,-0.07314,0.01864,0.03005,0.00925,-0.0018,0.01285,0.03779,-0.02008,0.0044,-0.00452,0.00213,-0.00067,0.00308,0.00768,0.00489,-0.03986,-0.05815,0.01092,-0.02139,-0.00509,-0.0969,-0.10721,-0.00075,-0.06129,-0.03185,-0.03006,0.02558,0.00569,-0.01388,-0.05891,-0.37981,-0.71049,-0.1341,-0.05912,0.06484,-0.11944,0.01521,-0.0363,-0.08104,-0.0724,0.01818,-0.02167,0.04206,0.05943,-0.04954,0.00044,0.04143,0.04056,-0.07237,-0.10748,0.1089,0.00842,-0.137,-0.54563,-0.0438,-0.28527,-0.02855,-0.12336,0.00193,-0.03328,-0.06858,0.00616,0.03534,0.02225,-0.12668,-0.1047,-0.12481,-0.12334,0.01408,0.01476,-0.00126,0.00059,-0.02279,-0.08453,0.00545,-0.04976,0.02444,0.03605,-0.07029,0.03127,0.0317,0.07326,0.03637,-0.0711,0.0322,0.07511,-0.03479,0.07228,0.01476,-0.02279,-0.00585,0.00463,0.03149,0.04056,-0.01049,-0.00172,-0.02967,-0.00777,0.01304,0.08909,0.12977,0.11648,0.33407,-0.37552,-0.06326,0.00373,-0.10781,-0.37765,-0.12067,0.14139,-0.00183,-0.01047,-0.0289,-0.02852,0.24855,-0.0133,0.78061,-0.05158,0.21285,-0.02841,0.04586,-0.65297,-0.65479,0.00178,0.00178,0.09875,0.0,0.53912,0.06013,-0.00984,-0.03157,-0.17601,-0.02845,-0.08104,0.05841,-0.01269,0.02201,-0.11421,-0.04451,-0.04518,-0.47577,-0.14635,-0.10194,0.03012,-0.13639,0.0486,0.03766,-0.05367,0.46911,-0.01263,0.01177,-0.00406,-0.12775,-0.0634,-0.10305,-0.08111,0.10307,0.15106,0.07593,-0.00723,-0.09065,-0.13458,-0.02413,0.00123,-0.04345,0.01181,-0.06129,-0.07255,-0.02571,0.02897,-0.11931,0.0306,-0.0535,0.01755,-0.12369,0.03011,0.12287,0.0383,-0.09337,-0.0194,-0.11462,-0.0121,-0.10167,-0.07078,0.11909,-0.00931,0.07593,-0.01901,-0.07736,-0.10737,0.61795,0.31584,-0.0229,-0.04061,-0.04061,0.0,0.0,0.0,-0.0365,0.0322,-0.00473,-0.00012,-0.0109,-0.05323
7,-0.0631,0,0.09918,-0.03199,-0.06776,0.00826,0.01112,-0.15798,0.13042,0.09924,-0.02927,0.0407,-0.01614,-0.01144,-0.00352,-0.0026,0.01569,0.04923,-0.02645,-0.08567,0.00448,-0.00658,-0.00647,0.00545,0.01191,0.00666,-0.0567,-0.10469,-0.00637,0.04834,0.00074,0.04348,0.07941,0.02467,-0.09116,-0.04338,-0.03514,0.02074,0.0059,-0.01388,-0.08813,-0.39452,-0.60345,-0.15914,-0.02973,0.06484,-0.11944,0.0279,-0.04295,-0.15656,-0.07263,0.03001,-0.02191,0.03711,0.05975,-0.00535,0.002,0.0366,0.0358,-0.00106,0.01601,0.14634,0.09916,-0.03969,-0.54563,0.03349,-0.17749,0.03943,-0.04814,0.00193,-0.04205,-0.0968,0.00738,0.02675,0.02032,-0.13319,-0.11763,-0.13423,0.10621,0.06908,0.02335,-0.00179,-0.00621,-0.03758,-0.07915,0.0379,-0.10258,-0.04653,-0.06703,0.0081,-0.00063,0.05932,0.09808,-0.06776,0.00826,-0.00061,0.04355,-0.04554,0.0967,0.02335,-0.03758,-0.02424,-0.04027,0.02063,0.0358,0.01862,-0.00238,-0.0337,-0.01151,0.02156,-0.05843,-0.06416,-0.08083,0.02348,-0.38956,-0.06486,0.00681,-0.11737,-0.03027,-0.10379,0.23192,-0.01593,-0.00632,0.05932,0.05856,-0.05025,0.00917,-0.16759,0.01832,-0.00321,0.05835,-0.02343,-0.02781,-0.02774,-0.00178,-0.00178,0.09875,0.0,-0.13478,0.06013,-0.00984,-0.03157,-0.17601,0.05853,-0.15656,-0.04779,0.01219,-0.01952,0.06388,-0.01425,0.07565,-0.41493,-0.10424,0.01065,-0.02729,-0.18307,0.0486,0.06268,-0.05367,0.32728,-0.06276,0.01707,0.04099,-0.18272,-0.00287,-0.01728,-0.00476,0.10307,0.15106,-0.20395,-0.00633,-0.00301,-0.10698,-0.01396,0.0063,0.04802,0.00487,-0.00548,-0.02127,-0.00741,-0.01176,-0.04093,0.01851,-0.01672,0.00748,-0.02266,-0.00424,-0.11443,0.0174,-0.04319,-0.00758,-0.11635,0.00525,0.09918,0.00819,-0.27939,-0.00133,-0.20395,0.04161,0.10599,-0.09998,0.42583,0.31584,0.00146,-0.04061,-0.04061,0.0,0.0,0.0,0.01578,-0.00061,-0.00669,0.02191,0.03132,0.00186
8,-0.0573,0,-0.02759,0.00859,-0.04572,0.0841,-0.01331,-0.02601,0.21591,-0.02766,0.03346,-0.05834,-0.00666,-0.02424,-0.01367,-0.00231,0.01642,0.05483,-0.02994,-0.14731,0.00246,-0.00611,-0.00645,0.00567,0.01254,0.00725,-0.06508,-0.13203,-0.00841,-0.023,-0.00039,-0.0077,0.1449,0.04086,-0.08931,-0.0422,-0.03413,0.02335,0.00681,-0.01388,-0.09134,-0.30339,-0.37757,-0.13077,-0.00933,0.06484,-0.11944,0.02945,-0.02796,-0.16482,-0.08666,0.03132,-0.03666,0.04085,0.06261,-0.0225,0.00095,0.04035,0.03946,-0.07036,0.09157,0.14346,0.13876,-0.02167,-0.54563,-0.14685,-0.42899,0.10742,-0.22365,0.00721,-0.03981,-0.07315,0.00753,0.02562,0.02312,-0.10568,-0.09008,-0.10521,0.04326,0.0828,0.02694,-0.00205,-0.00824,-0.0304,-0.11891,0.00432,-0.02624,0.00729,-0.04515,0.08316,-0.00518,0.10437,0.10629,-0.04572,0.0841,-0.00532,0.00881,-0.04952,0.10484,0.02694,-0.0304,-0.04019,-0.05278,0.02625,0.03946,-0.00496,-0.00117,-0.02286,-0.00561,0.00308,0.05482,-0.10454,0.00651,0.09017,-0.29916,-0.03843,0.01157,-0.1073,0.02715,-0.09508,0.04337,-0.00723,-0.03317,-0.02398,-0.02371,0.00658,0.01499,2e-05,0.05697,0.334,-0.02361,0.01078,0.16611,0.16705,0.00178,0.00178,0.09875,0.0,-0.13478,0.06013,-0.00984,-0.03157,-0.17601,-0.02364,-0.16482,0.05841,-0.01269,0.02201,0.07419,0.05404,0.18824,0.04617,-0.08112,0.06876,0.07887,0.03432,0.0486,0.06268,-0.11207,0.2014,-0.06276,0.01707,0.05567,-0.10823,-0.05481,-0.04136,-0.07098,0.10307,0.15106,0.05355,-0.00956,-0.0279,-0.15003,-0.02355,0.00776,-0.18522,0.01454,-0.01156,-0.07557,-0.0266,0.02442,0.03851,0.0301,-0.00066,0.01199,-0.03352,-0.00242,0.26692,0.01513,0.00012,-0.00583,-0.06666,0.02857,-0.02759,0.08377,0.09356,-0.0105,0.05355,0.05425,0.4765,-0.03574,0.28886,0.31584,-0.0027,-0.04061,-0.04061,0.0,0.0,0.0,0.02788,-0.00532,-0.00774,0.02345,-0.06479,0.00702
9,0.1194,1,0.03334,-0.02268,-0.06124,0.0233,-0.04569,-0.02043,0.26166,0.03332,-0.00638,-0.0119,-0.01354,-0.02732,-0.02093,-0.00233,0.01932,0.06228,-0.03503,-0.22689,0.00502,-0.00926,-0.00888,0.00692,0.01495,0.00845,-0.07823,-0.17106,-0.01196,0.00765,0.00095,0.01598,0.16872,0.06103,-0.13712,-0.04634,-0.03568,0.02424,0.00749,-0.01388,-0.15021,-0.08072,0.00135,-0.08126,0.07219,0.06484,0.25381,0.03864,0.03662,-0.19882,-0.0451,0.03696,-0.04627,0.04249,0.06479,-0.02522,0.00048,0.04204,0.04108,-0.13928,0.12116,0.13036,0.14687,-0.07923,-0.10843,-0.14685,-0.24935,0.17541,-0.22365,0.00879,-0.1352,-0.06548,0.00823,0.02517,0.02634,-0.04822,-0.02272,-0.04068,0.14098,0.12772,0.03544,-0.00259,-0.0136,-0.05166,-0.12621,0.04374,0.15407,0.03333,-0.06045,0.02292,0.02613,0.08708,0.14394,-0.06124,0.0233,0.02702,0.03503,-0.08004,0.14177,0.03544,-0.05166,-0.03518,-0.0415,0.02824,0.04108,-0.06752,0.00331,0.0223,0.0169,-0.05174,-0.10338,-0.31203,0.1093,-0.15307,-0.07979,-0.02132,0.01483,-0.03468,0.38635,-0.05755,0.30693,-0.02418,-0.07467,0.01126,0.01113,0.29591,-0.00694,0.72165,-0.02433,0.33368,0.01109,0.0261,0.17377,0.17486,-0.00178,-0.00178,0.09875,0.0,0.53912,0.06013,-0.00984,-0.03157,0.4526,0.01117,-0.19882,-0.04779,0.02463,-0.0299,-0.05473,0.04102,0.1636,0.31801,-0.05288,0.08961,0.1033,0.15585,-0.25067,0.09633,-0.0774,0.18803,-0.08282,0.01919,0.07104,-0.07247,-0.07378,-0.0871,-0.09293,0.10307,0.15106,-0.18913,-0.01134,-0.02125,-0.19797,0.0192,0.03021,-0.00157,0.01251,-0.00619,-0.05007,0.00681,-0.0652,-0.01163,0.03496,-0.0069,0.01248,-0.01636,-0.01414,-0.08395,0.0233,-0.01218,-0.00857,-0.11353,0.0353,0.03334,0.02318,-0.2668,-0.00302,-0.18913,-0.04687,0.42065,-0.0154,0.23045,0.31584,0.00278,-0.04061,-0.04061,0.0,0.0,0.0,0.06321,0.02702,-0.00601,0.03464,0.09187,0.02209
10,-0.053,0,-0.05713,0.00761,0.07051,-0.00818,0.00967,-0.04109,0.10434,-0.05722,0.01362,-0.0515,0.01246,0.01301,0.00593,-0.00012,0.01016,0.04072,-0.02567,-0.14036,-0.00273,0.00197,0.00032,0.00192,0.00559,0.00483,-0.0507,-0.10861,0.00595,-0.01966,-0.00276,-0.03825,-0.11463,0.0015,-0.04267,-0.01998,-0.02216,0.01747,0.00726,-0.01388,-0.04008,0.11212,0.31859,0.022,0.04569,0.06484,-0.11944,0.01196,0.13718,-0.06412,0.02511,0.02758,-0.04603,0.03469,0.06243,0.02941,0.00236,0.03426,0.03356,-0.12749,0.06301,0.02258,0.04845,-0.12426,-0.37075,-0.06956,-0.24935,0.22073,-0.14843,0.00826,-0.03065,-0.0056,0.00513,0.0206,0.0231,-0.05122,-0.04348,-0.05092,-0.11467,0.01282,0.01642,-0.00151,0.00148,-0.01458,-0.05718,0.00201,-0.19631,-0.04033,0.06967,-0.00815,0.01166,0.03369,0.15507,0.07051,-0.00818,0.01208,0.02555,-0.06837,0.15239,0.01642,-0.01458,-0.0094,0.00605,0.02377,0.03356,-0.16453,0.01012,0.09216,0.05198,-0.13915,-0.16613,-0.06439,-0.14606,-0.14692,0.10976,-0.02814,0.01593,-0.01041,0.28417,-0.07264,0.56204,-0.00973,-0.09845,-0.0458,-0.04527,0.0083,-0.0133,0.24623,-0.05158,-0.13987,-0.04507,0.06832,0.26308,0.2645,0.00178,0.00178,0.09875,0.0,-0.13478,0.06013,0.06045,-0.03157,-0.17601,-0.0452,-0.06412,0.00531,-0.01269,0.01163,-0.00719,-0.10442,0.00893,-0.26532,-0.01471,0.10064,-0.0874,0.07399,0.35872,0.03766,-0.005,-0.04354,-0.02266,0.01283,0.0167,0.00176,-0.06438,-0.09803,-0.08224,0.10307,0.15106,0.00811,-0.00702,0.01183,-0.11211,0.07286,0.03947,0.13531,0.00961,-0.00192,-0.04758,0.01952,-0.07271,0.01247,0.04643,-0.00788,0.02158,0.04909,-0.03226,0.24673,0.02779,-0.0089,-0.01162,0.09545,0.13853,-0.05713,-0.00818,-0.02009,-0.01923,0.00811,-0.0085,0.02027,-0.0089,0.18908,-0.29154,-0.01075,-0.04061,-0.04061,0.0,0.0,0.0,-0.03187,0.01208,0.00031,0.0151,0.11836,0.0173
