trade_id,entry_epoch,exit_epoch,direction,entry,exit,pnl_pct,hold_bars,exit_reason,mfe_pct,mae_pct,atr_entry,ret_1,ret_2,ret_3,ret_5,ret_8,ret_13,ret_21,log_ret_1,ret_z_5,ret_z_20,dist_sma5,dist_sma8,dist_sma10,dist_sma20,dist_sma34,dist_sma50,dist_sma100,dist_sma200,dist_ema5,dist_ema9,dist_ema12,dist_ema21,dist_ema26,dist_ema50,dist_ema100,dist_ema200,dist_wma10,dist_hma9,dist_dema9,dist_tema9,z_ema9,z_ema12,z_ema21,z_ema26,z_ema50,ema_spread_9_21,ema_spread_21_50,price_ma_cross_9_21,bb_pct,bb_width,bb_width_z,bb_up_dist,bb_low_dist,in_upper_band,in_lower_band,kc_pos,kc_width,dc_pos20,dc_width20,dc_pos50,dc_width50,macd,macd_signal,macd_hist,macd_hist_z,macd_ratio,ppo,adx14,pdi14,mdi14,di_diff,adx_sma5,aroon_up14,aroon_dn14,aroon_osc14,aroon_up25,aroon_dn25,aroon_osc25,cci14,cci20,dpo20,trix9,tsi,vi_plus,vi_minus,vi_diff,rsi_2,rsi_7,rsi_14,rsi_21,rsi_14_z,stoch_k,stoch_d,stoch_j,stoch_rsi,stoch_rsi_k,momentum_3,momentum_5,momentum_10,momentum_20,momentum_50,roc_3,roc_5,roc_10,roc_12,roc_24,roc_50,cmo14,williams_r,elder_bull,elder_bear,awesome,ppo_mom,atr_7,atr_14,atr_21,atr14_pct,atr14_sma,std_5,realized_vol_5,std_10,realized_vol_10,std_20,realized_vol_20,std_50,realized_vol_50,parkinson_10,parkinson_20,garman_klass_10,vol_ratio_20,vol_z_20,body,body_pct,upper_wick,lower_wick,up_wick_pct,low_wick_pct,body_ratio,body_pos,range_pct,gap,gap_pct,bull,bear,doji,hammer,shooting_star,marubozu,engulf_bull,engulf_bear,harami,close_vs_open_pos,hl_position_20,up_streak,dn_streak,streak_diff,skew_10,kurt_10,skew_20,kurt_20,skew_50,kurt_50,autocorr_1_10,autocorr_5_20,entropy_10,entropy_20,entropy_30,hurst_20,pct_rank_20,pct_rank_50,q25_dist,q75_dist,fisher,fisher_sig,inv_fisher,hour_sin,hour_cos,lag_ret1_1,lag_rsi14_1,lag_macdhist_1,lag_bbpct_1,lag_atrpct_1,lag_volz_1,lag_ret1_2,lag_rsi14_2,lag_macdhist_2,lag_bbpct_2,lag_atrpct_2,lag_volz_2,lag_ret1_3,lag_rsi14_3,lag_macdhist_3,lag_bbpct_3,lag_atrpct_3,lag_volz_3,lag_ret1_4,lag_rsi14_4,lag_macdhist_4,lag_bbpct_4,lag_atrpct_4,lag_volz_4,ret_ma5,ret_ma10,prev_bar_body,prev_bar_range,prev_bar_close_pos,er_10,er_20,mfi_proxy_14,cmf_proxy_14,macd_cross,macd_hist_slope,dow_sin,dow_cos,session_asia,session_london,session_ny,rsi_7_z,ret_10,dist_high_20,dist_low_20,hl_ratio_5,avg_body_ratio_10
1,1787781600,1787781660,LONG,97.4329,97.3758,-0.0586,1,SL,0.0258,-0.0745,0.09516,0.067118,0.113011,0.135768,0.164202,0.085943,-0.015302,-0.339752,0.067095,0.922339,1.249565,0.10138,0.117258,0.107874,-0.001875,-0.059557,-0.09927,-0.197673,-0.161964,0.07285,0.077365,0.065265,0.019584,-0.00246,-0.078854,-0.163245,-0.299135,0.1007,0.061644,0.09953,0.061142,1.853246,1.849983,-0.08828,-0.303232,-0.636933,-0.057736,-0.098419,-1.0,0.497175,0.663446,1.223265,0.333604,0.329855,0.0,0.0,0.564474,0.377784,0.393275,0.562056,0.37174,0.594616,-0.065894,-0.07107,0.005176,0.391081,-0.067683,-0.067681,35.886782,25.718321,20.176712,5.541609,43.718144,0.0,71.428571,-71.428571,16.0,84.0,-68.0,0.372097,-0.007545,-0.145975,-0.01511,-16.714334,0.875778,0.478512,0.397267,95.37127,59.085694,49.553711,47.575803,0.441162,68.996473,42.096445,122.79653,100.0,84.320357,0.132,0.1596,0.0588,-0.2756,0.0464,0.135768,0.164202,0.060433,0.060227,-0.11747,0.047682,-0.892578,-31.003527,0.078437,-0.020963,-0.156618,-0.067681,0.089172,0.0912,0.092017,0.093675,-0.042383,0.070139,0.083139,0.059137,0.19901,0.161481,0.290721,0.151887,0.48287,0.024007,0.028169,0.052593,1.249565,-0.09122,0.0796,0.081761,0.0198,0.0,19.919517,0.0,0.800805,0.999591,0.102099,-0.0143,-0.014698,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.081828,0.393275,4.0,0.0,4.0,0.203388,-0.613381,0.839529,-0.646129,-0.13189,-1.068426,0.299995,0.51465,1.559581,1.541833,1.584655,0.568556,0.65,0.28,0.118559,0.106413,0.014711,-0.198257,0.01471,-0.707107,0.707107,0.045863,44.859645,-0.005266,0.382873,0.092442,-0.317576,0.022731,41.401498,-0.013786,0.303852,0.095433,0.164983,0.055366,39.660293,-0.02065,0.253732,0.097639,0.516058,-0.026955,35.315503,-0.026641,0.156474,0.098347,0.57713,0.067118,0.032824,0.0415,0.0713,0.045863,11.570248,25.109329,46.044698,9727.073338,1.0,0.010443,0.974928,-0.222521,0.0,0.0,0.0,0.876735,0.060433,0.341013,0.221042,0.241915,0.551379
2,1787781780,1787781900,SHORT,97.2292,97.09746,0.1355,2,TP,0.0437,0.0,0.10134,0.003903,-0.067534,0.010477,0.1235,0.174696,0.070916,-0.274185,0.003903,-0.342303,0.253103,0.004868,0.061918,0.076645,0.048284,-0.047022,-0.085615,-0.182522,-0.153825,0.015529,0.036928,0.038935,0.017829,0.002339,-0.062953,-0.145107,-0.280798,0.041528,-0.061477,0.018195,-0.024544,0.804465,1.023948,0.257432,-0.171577,-0.546959,-0.019092,-0.080767,-1.0,0.608213,0.446193,-0.787237,0.174728,0.27125,0.0,0.0,0.554048,0.386032,0.444488,0.520812,0.389359,0.594554,-0.035618,-0.056669,0.021051,0.94938,-0.036581,-0.036582,34.901125,26.867322,14.829381,12.037941,36.404573,85.714286,50.0,35.714286,4.0,72.0,-68.0,0.405183,0.212033,-0.116705,-0.006007,-9.261025,1.089123,0.355184,0.733939,50.040149,56.041433,49.947883,48.157584,0.450487,67.34389,73.518574,54.994522,79.546139,86.223302,0.0102,0.1201,0.1861,-0.2617,-0.0966,0.010477,0.1235,0.191498,0.06526,-0.329311,-0.099114,-0.104234,-32.65611,0.099608,0.015408,-0.050546,-0.036582,0.09399,0.093992,0.093946,0.096534,-0.013771,0.05009,0.135872,0.085148,0.193077,0.108559,0.305689,0.152538,0.479083,0.021154,0.023875,0.057365,0.253103,0.135632,-0.0151,-0.015508,0.0476,0.0215,56.532067,25.534442,0.179335,1.000078,0.086477,0.0189,0.019412,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.015506,0.444488,1.0,0.0,1.0,0.165713,-1.073965,0.752528,0.099455,-0.072556,-1.109681,0.79314,-0.309112,1.494175,1.455514,1.562984,0.578539,0.75,0.32,0.129022,0.001207,0.331041,0.286564,0.319456,-0.5,0.866025,-0.071434,49.692349,0.019606,0.558585,0.098085,0.53765,0.078063,54.41738,0.016948,0.648412,0.097667,0.552614,0.067118,49.553711,0.005176,0.497175,0.093675,-0.09122,0.045863,44.859645,-0.005266,0.382873,0.092442,-0.317576,0.003903,0.024703,-0.0707,0.0977,-0.071434,35.146364,22.477025,62.612816,9728.816051,1.0,0.001445,0.974928,-0.222521,0.0,0.0,0.0,0.62319,0.191498,0.289317,0.231495,0.237234,0.575809
3,1787781960,1787782020,SHORT,97.0153,96.88924,0.1299,1,TP,0.0242,0.0,0.09697,-0.110304,-0.154377,-0.295788,-0.363122,-0.172653,-0.104856,-0.486297,-0.110364,-0.663107,-1.291958,-0.1706,-0.215031,-0.204291,-0.194652,-0.319744,-0.355494,-0.465728,-0.450278,-0.130561,-0.170106,-0.187134,-0.229671,-0.250404,-0.327828,-0.419963,-0.561401,-0.184813,-0.087631,-0.118624,-0.093446,-1.861659,-1.793298,-2.173422,-1.659778,-2.128271,-0.059666,-0.098383,-1.0,-0.054112,0.351286,-1.503323,0.371017,-0.019046,0.0,1.0,-0.055156,0.405805,0.033098,0.423263,0.02076,0.674811,-0.061692,-0.054291,-0.007401,-0.225507,-0.063548,-0.063389,32.334573,16.393952,41.58219,-25.188238,33.135381,64.285714,100.0,-35.714286,0.0,100.0,-100.0,-1.028872,-0.796452,-0.366385,-0.006583,-14.870948,0.850272,0.518537,0.331735,2.578114,26.775989,34.590328,37.653878,-1.163778,3.309808,14.259329,-18.589236,9.265007,27.53737,-0.288,-0.3538,-0.092,-0.3546,-0.5611,-0.295788,-0.363122,-0.094678,-0.199541,-0.569162,-0.574661,-30.819345,-96.690192,-0.079402,-0.200602,-0.1455,-0.063389,0.103894,0.100274,0.098523,0.103291,0.051272,0.122598,0.126745,0.105278,0.246492,0.085423,0.318803,0.162734,0.485067,0.026461,0.024453,0.056913,1.291958,1.568679,-0.1076,-0.110837,0.0,0.0136,0.0,11.221122,0.887789,1.000554,0.124847,0.0004,0.000412,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.110715,0.033098,0.0,3.0,-3.0,-0.398312,-0.113383,-0.12871,-0.010314,-0.031747,-0.976202,0.715477,-0.763471,1.494175,1.553019,1.59884,0.612042,0.05,0.02,-0.14138,0.244981,-0.081323,0.123727,-0.081144,-0.5,0.866025,-0.044123,39.484046,0.004345,0.190734,0.099864,0.701874,-0.141629,41.675023,0.01257,0.305757,0.104228,1.814556,0.003903,49.947883,0.021051,0.608213,0.096534,0.135632,-0.071434,49.692349,0.019606,0.558585,0.098085,0.53765,-0.110304,-0.072717,-0.0378,0.0692,-0.044123,14.762516,28.782468,47.146108,9726.636261,-1.0,-0.011746,0.974928,-0.222521,0.0,0.0,0.0,-1.118951,-0.094678,0.409254,0.014009,0.404366,0.610981
4,1787782140,1787782260,SHORT,96.7533,96.81608,-0.0649,2,SL,0.0,0.0,0.10464,-0.015079,-0.213059,-0.278639,-0.432586,-0.640749,-0.373053,-0.503298,-0.01508,1.003885,0.077722,-0.179311,-0.309356,-0.368019,-0.408976,-0.544305,-0.586684,-0.722492,-0.724221,-0.156372,-0.259615,-0.307711,-0.399055,-0.434345,-0.545645,-0.661379,-0.816091,-0.25744,0.007328,-0.107717,-0.029643,-1.456854,-1.783585,-2.46705,-2.49585,-2.854833,-0.139803,-0.147177,-1.0,-0.100107,0.681506,1.498742,0.752808,-0.068503,0.0,1.0,-0.399827,0.434587,0.098055,0.764808,0.074332,1.008898,-0.123507,-0.078794,-0.044713,-1.545569,-0.127579,-0.127025,43.545363,9.817965,60.219187,-50.401222,36.075753,42.857143,100.0,-57.142857,0.0,100.0,-100.0,-1.71244,-1.48595,-0.583765,-0.018476,-26.738397,0.702409,0.606629,0.09578,0.374244,15.174894,25.469554,30.461485,-1.803651,9.805511,4.268405,20.879723,0.0,0.0,-0.2705,-0.4206,-0.483,-0.4141,-0.8713,-0.278639,-0.432586,-0.496446,-0.428182,-0.763581,-0.891995,-49.060893,-90.194489,-0.306789,-0.384189,-0.355918,-0.127025,0.116054,0.108995,0.105167,0.112588,0.136494,0.163981,0.159411,0.227782,0.27673,0.165616,0.358481,0.200121,0.510665,0.038902,0.033132,0.061127,0.077722,2.139207,0.0027,0.002789,0.0048,0.0699,6.20155,90.310078,0.034884,0.999986,0.079952,-0.0173,-0.017868,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.002789,0.098055,0.0,6.0,-6.0,-0.566875,-1.071647,-1.311905,1.528131,-0.764164,0.942046,0.941095,-0.538299,1.494175,1.567056,1.562984,0.604715,0.05,0.02,-0.38212,0.507057,-0.461037,-0.382775,-0.430929,-0.5,0.866025,-0.19801,25.871171,-0.035348,-0.238473,0.116034,3.273953,-0.06572,32.044759,-0.017952,-0.095076,0.099954,0.47165,-0.110304,34.590328,-0.007401,-0.054112,0.103291,1.568679,-0.044123,39.484046,0.004345,0.190734,0.099864,0.701874,-0.015079,-0.086647,-0.1686,0.1888,-0.19801,62.467667,32.063492,39.131328,9718.455769,-1.0,-0.009365,0.974928,-0.222521,0.0,0.0,0.0,-1.570233,-0.496446,0.689815,0.074993,0.537029,0.621243
5,1787782320,1787782440,SHORT,96.8266,96.8875,-0.0629,2,SL,0.0,-0.0536,0.10151,0.146729,0.100772,0.043591,-0.169561,-0.389183,-0.453071,-0.465348,0.146621,1.46735,1.951289,0.063892,-0.054062,-0.135468,-0.285448,-0.428972,-0.492006,-0.656318,-0.675748,0.014,-0.074518,-0.130185,-0.247862,-0.29425,-0.436655,-0.577587,-0.747796,-0.028099,0.181397,0.089291,0.13052,-0.460321,-0.767697,-1.286763,-1.508391,-2.007573,-0.173473,-0.189262,-1.0,0.190886,0.923439,2.749144,0.749306,0.176776,0.0,1.0,-0.050218,0.431336,0.184886,0.792456,0.141363,1.03644,-0.159576,-0.116029,-0.043546,-1.194978,-0.164764,-0.16428,47.412005,22.651917,44.693991,-22.042074,45.282214,21.428571,92.857143,-71.428571,56.0,96.0,-40.0,-0.795955,-0.901139,-0.49597,-0.030542,-34.09522,0.659348,0.594693,0.064655,72.272067,34.915342,33.917561,35.536499,-0.579839,18.488599,6.941725,41.582349,35.204086,11.734695,0.0422,-0.1645,-0.5125,-0.4225,-0.6597,0.043591,-0.169561,-0.526379,-0.51984,-0.459926,-0.676543,-32.164877,-81.511401,-0.114935,-0.279235,-0.479093,-0.16428,0.111596,0.107077,0.104366,0.110559,0.115116,0.057148,0.275219,0.226341,0.292578,0.22423,0.386082,0.238531,0.522865,0.04835,0.036677,0.059002,1.951289,1.471794,0.1372,0.141661,0.0271,0.0,16.494218,0.0,0.835058,0.999292,0.169642,0.0047,0.00486,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.141862,0.184886,1.0,0.0,1.0,0.45085,-1.20689,-0.680793,-0.823889,-0.944215,0.704268,0.924553,0.174229,1.213008,1.567056,1.572702,0.613148,0.25,0.1,-0.127387,0.440884,-0.552114,-0.545313,-0.502103,-0.5,0.866025,-0.04589,22.779862,-0.054345,-0.008392,0.100871,0.013551,-0.057123,23.952819,-0.05105,-0.05319,0.108147,1.253548,-0.015079,25.469554,-0.044713,-0.100107,0.112588,2.139207,-0.19801,25.871171,-0.035348,-0.238473,0.116034,3.273953,0.146729,-0.033875,-0.0338,0.0515,-0.04589,63.75171,29.713763,37.367777,9710.025903,-1.0,0.010798,0.974928,-0.222521,0.0,0.0,0.0,-0.027519,-0.526379,0.645942,0.146514,0.292527,0.640628
6,1787782500,1787782560,LONG,96.9259,96.86799,-0.0597,1,SL,0.0,-0.098,0.09652,0.046772,0.073843,0.048838,0.149659,-0.120806,-0.477798,-0.385615,0.046761,0.223489,0.763956,0.072975,0.085537,0.03761,-0.181562,-0.30752,-0.406825,-0.584733,-0.624581,0.039946,0.003755,-0.035135,-0.140314,-0.187167,-0.339895,-0.496087,-0.677631,0.06266,0.042232,0.103848,0.082082,0.696825,-0.125864,-0.775488,-0.973345,-1.515253,-0.144064,-0.199861,-1.0,0.315907,0.986249,2.406204,0.675914,0.312129,0.0,0.0,0.177944,0.403663,0.246515,0.792069,0.188484,1.035934,-0.147644,-0.134343,-0.013301,0.3023,-0.152371,-0.152085,39.300161,30.5852,37.621729,-7.036529,45.016659,0.0,71.428571,-71.428571,44.0,84.0,-40.0,-0.262695,-0.576134,-0.406425,-0.030352,-32.054914,0.653787,0.675316,-0.021529,85.553004,43.698232,38.351053,38.436905,0.127934,25.256975,19.780555,36.209815,57.314411,42.790414,0.0473,0.1448,-0.2882,-0.2992,-0.5587,0.048838,0.149659,-0.296544,-0.481682,-0.416737,-0.57328,-23.297894,-74.743025,0.002293,-0.066207,-0.36956,-0.152085,0.093556,0.097273,0.097939,0.100387,0.012625,0.071123,0.168443,0.112057,0.293578,0.239349,0.363847,0.261221,0.525925,0.047736,0.037733,0.056288,0.763956,-0.223641,0.0196,0.020227,0.0489,0.0,71.386861,0.0,0.286131,0.999899,0.070693,0.0257,0.026535,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.020232,0.246515,2.0,0.0,2.0,0.87493,0.489019,-0.071405,-1.58582,-0.672592,-0.268674,0.645188,0.392062,1.320888,1.553019,1.555239,0.670814,0.4,0.16,0.055058,0.371576,-0.378826,-0.471489,-0.361688,-0.5,0.866025,0.027059,34.998071,-0.024971,0.250614,0.100922,-0.167176,-0.024987,33.04227,-0.034982,0.196391,0.104834,0.48002,0.146729,33.917561,-0.043546,0.190886,0.110559,1.471794,-0.04589,22.779862,-0.054345,-0.008392,0.100871,0.013551,0.046772,0.029937,0.0291,0.0733,0.027059,40.307692,23.798918,28.634443,9700.843534,-1.0,0.011669,0.974928,-0.222521,0.0,0.0,0.0,0.692269,-0.296544,0.596813,0.195257,0.246203,0.565482
7,1787782680,1787782740,SHORT,96.681,96.74196,-0.0631,1,SL,0.0,0.0,0.1016,-0.054524,-0.144647,-0.115998,-0.04224,0.033487,-0.412198,-0.451736,-0.054539,-0.76573,-0.37676,-0.076915,-0.051853,-0.040506,-0.241193,-0.355185,-0.487729,-0.676801,-0.736749,-0.056117,-0.084734,-0.1146,-0.207902,-0.253517,-0.411433,-0.579873,-0.771512,-0.055927,-0.09393,-0.011685,-0.036382,-0.601054,-0.684525,-1.009185,-1.218413,-1.693912,-0.123273,-0.203955,-1.0,0.259891,1.004518,2.024974,0.74525,0.261697,0.0,0.0,0.011716,0.405775,0.100065,0.792989,0.076509,1.037137,-0.134948,-0.134846,-0.000102,0.840096,-0.13943,-0.139076,34.134838,19.718063,41.338529,-21.620466,37.449674,0.0,50.0,-50.0,32.0,72.0,-40.0,-0.301352,-0.768284,-0.46491,-0.024389,-30.08597,0.639491,0.692573,-0.053081,14.373281,33.143924,34.100905,35.559517,-0.408348,14.050494,21.233089,-0.314697,64.311084,66.936936,-0.1124,-0.0409,-0.0375,-0.4613,-0.6564,-0.115998,-0.04224,-0.03873,-0.302228,-0.501166,-0.673631,-31.798191,-85.949506,-0.053113,-0.163713,-0.270494,-0.139076,0.097813,0.098219,0.098371,0.101481,0.021915,0.05438,0.134587,0.06462,0.217175,0.243645,0.365405,0.280042,0.529454,0.032719,0.03696,0.054958,0.37676,-0.134106,-0.054,-0.055793,0.0142,0.0424,12.83906,38.336347,0.488246,1.000279,0.114273,0.0012,0.001239,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.055762,0.100065,0.0,2.0,-2.0,-0.273136,-0.037373,0.491327,-1.408258,-0.438529,-0.830854,0.458371,0.467339,1.320888,1.567056,1.555239,0.618549,0.15,0.06,-0.04138,0.474347,-0.075451,-0.134073,-0.075309,-0.5,0.866025,-0.090172,36.328555,0.000382,0.289114,0.099459,-0.410091,0.02869,40.383426,-0.002291,0.358377,0.099578,-0.361253,0.046772,38.351053,-0.013301,0.315907,0.100387,-0.223641,0.027059,34.998071,-0.024971,0.250614,0.100922,-0.167176,-0.054524,-0.008435,-0.0817,0.0893,-0.090172,7.212926,34.86509,30.05348,9689.156111,-1.0,-0.000485,0.974928,-0.222521,0.0,0.0,0.0,-0.160686,-0.03873,0.713638,0.079351,0.210557,0.499176
8,1787782860,1787782920,LONG,96.7068,96.65139,-0.0573,1,SL,0.0049,-0.084,0.09235,0.009411,0.027099,-0.081107,-0.225636,-0.123313,-0.119806,-0.667338,0.00941,0.956682,0.615558,-0.036075,-0.094229,-0.102545,-0.219511,-0.367439,-0.527363,-0.727248,-0.813525,-0.034585,-0.079979,-0.1144,-0.214365,-0.263302,-0.43546,-0.621593,-0.82667,-0.06993,0.045384,0.010726,0.00681,-1.056525,-1.040231,-0.994769,-1.193214,-1.658564,-0.134494,-0.22157,-1.0,0.253742,0.891388,1.220485,0.666669,0.226681,0.0,0.0,-0.008549,0.401012,0.084055,0.84761,0.064129,1.110982,-0.144544,-0.139319,-0.005225,0.47803,-0.149466,-0.149072,39.1547,13.068707,41.052539,-27.983832,36.048299,0.0,100.0,-100.0,20.0,100.0,-80.0,-0.291488,-0.607256,-0.47171,-0.023603,-32.935446,0.699894,0.655796,0.044098,33.894356,30.510915,32.320719,34.137195,-0.568588,19.490806,10.497011,37.478397,54.198443,48.626956,-0.0785,-0.2187,-0.0017,-0.7257,-0.6887,-0.081107,-0.225636,-0.001758,-0.104743,-0.532477,-0.707114,-35.358561,-80.509194,-0.101166,-0.190866,-0.32175,-0.149072,0.094365,0.096468,0.097208,0.099753,0.001751,0.067233,0.127537,0.085619,0.233581,0.215983,0.339696,0.309124,0.525734,0.030237,0.036561,0.057728,0.615558,-0.712819,0.0155,0.016028,0.0208,0.0534,23.188406,59.531773,0.172798,0.99992,0.092754,-0.0064,-0.006619,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01603,0.084055,2.0,0.0,2.0,-0.339627,-1.225398,1.015702,-0.062468,-0.310001,-1.121029,0.803821,0.116766,1.320888,1.567056,1.584655,0.57216,0.15,0.06,-0.072797,0.335084,-0.335765,-0.228816,-0.323692,-0.5,0.866025,0.017687,31.546582,-0.006817,0.229053,0.100839,-0.480221,-0.108177,30.152516,-0.005853,0.186847,0.105091,0.386062,-0.054524,34.100905,-0.000102,0.259891,0.101481,-0.134106,-0.090172,36.328555,0.000382,0.289114,0.099459,-0.410091,0.009411,-0.045155,0.022,0.0709,0.017687,0.316869,57.227348,42.385897,9680.823765,-1.0,0.001592,0.974928,-0.222521,0.0,0.0,0.0,-0.358073,-0.001758,0.776364,0.071246,0.291706,0.492961
9,1787783040,1787783280,LONG,96.6822,96.79764,0.1194,4,TP,0.1473,-0.0383,0.0888,-0.021319,-0.105267,-0.10568,-0.078609,-0.331078,-0.107436,-0.782708,-0.021322,-0.137114,0.15025,-0.06573,-0.104427,-0.146971,-0.220866,-0.415949,-0.58006,-0.800751,-0.912634,-0.061919,-0.111965,-0.147716,-0.250107,-0.301018,-0.484399,-0.686975,-0.905411,-0.094241,-0.014469,-0.015894,-0.013178,-1.222171,-1.483478,-1.368846,-1.281324,-1.713117,-0.138297,-0.234879,-1.0,0.140856,0.614979,-0.129035,0.529525,0.086815,0.0,1.0,-0.129014,0.380501,0.018113,0.685782,0.010717,1.15905,-0.148764,-0.142729,-0.006036,0.31812,-0.153993,-0.153529,44.146398,10.465109,39.752507,-29.287398,40.524472,35.714286,100.0,-64.285714,8.0,100.0,-92.0,-0.711489,-0.55498,-0.50533,-0.023294,-36.219974,0.826056,0.56589,0.260166,3.592862,21.893,28.116161,31.233781,-0.992028,3.389831,8.526553,-6.883614,30.313742,39.765785,-0.1022,-0.076,-0.2478,-0.6242,-0.8369,-0.10568,-0.078609,-0.255852,-0.253792,-0.772313,-0.858871,-43.767678,-96.610169,-0.086072,-0.166372,-0.339966,-0.153529,0.085216,0.09,0.092361,0.093163,-0.058084,0.049278,0.091314,0.11033,0.173746,0.148854,0.323051,0.329012,0.49891,0.014709,0.034842,0.053856,0.15025,-1.607474,-0.0139,-0.014388,0.0544,0.012,67.745953,14.94396,0.173101,1.000072,0.083122,-0.0067,-0.006934,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.014386,0.018113,0.0,3.0,-3.0,0.491445,-0.998827,0.900968,0.730956,-0.153022,-1.225114,0.883341,-0.079222,1.559581,1.585934,1.567193,0.567232,0.05,0.02,-0.105688,0.268231,-0.430846,-0.408744,-0.406028,-0.5,0.866025,-0.083965,28.920585,-0.004895,0.162171,0.094687,-1.555495,-0.000414,32.303426,-0.002708,0.267389,0.095497,-1.46512,0.009411,32.320719,-0.005225,0.253742,0.099753,-0.712819,0.017687,31.546582,-0.006817,0.229053,0.100839,-0.480221,-0.021319,-0.01572,-0.0782,0.0859,-0.083965,55.510753,53.856773,46.29192,9677.270822,-1.0,-0.001141,0.974928,-0.222521,0.0,0.0,0.0,-0.934327,-0.255852,0.673361,0.012422,0.159432,0.474819
10,1787783220,1787783340,LONG,96.7786,96.72731,-0.053,2,SL,0.0475,-0.2343,0.08549,0.024307,0.022962,0.102893,-0.002482,0.024203,-0.153222,-0.385974,0.024304,0.411969,0.547052,0.046328,0.029092,0.017282,-0.055582,-0.262367,-0.427545,-0.665513,-0.804871,0.020922,0.002122,-0.021562,-0.107113,-0.154473,-0.337214,-0.550022,-0.779433,0.028566,0.038864,0.057687,0.032589,0.748414,-0.175198,-0.629802,-0.72109,-1.236757,-0.109233,-0.230347,-1.0,0.352016,0.375593,-1.258911,0.243514,0.132288,0.0,0.0,0.220564,0.348559,0.279338,0.412391,0.099491,1.157858,-0.128757,-0.139041,0.010283,0.964615,-0.133145,-0.13294,43.292757,15.581972,29.053005,-13.471033,44.026102,14.285714,78.571429,-64.285714,0.0,88.0,-88.0,-0.251118,-0.147211,-0.35769,-0.020121,-32.913828,0.819456,0.593606,0.225851,82.866357,43.939683,37.528419,37.081741,0.198076,31.468927,27.165725,40.07533,76.726627,64.827505,0.0994,-0.0024,-0.1341,-0.3109,-0.8807,0.102893,-0.002482,-0.138478,-0.199901,-0.68062,-0.902494,-24.943161,-68.531073,-0.008411,-0.063111,-0.299168,-0.13294,0.071029,0.080163,0.084864,0.082894,-0.153485,0.042156,0.134547,0.048937,0.175258,0.090854,0.329686,0.335741,0.489945,0.019126,0.035533,0.050108,0.547052,-2.120078,0.0337,0.034848,0.021,0.0,38.391225,0.0,0.616088,0.999826,0.056564,-0.0102,-0.01055,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.034861,0.279338,1.0,0.0,1.0,0.185033,1.531362,0.180626,-0.971596,0.059165,-1.280195,0.262724,0.052789,1.073543,1.553019,1.530721,0.481894,0.35,0.14,0.010625,0.129441,-0.383733,-0.45176,-0.365945,-0.5,0.866025,-0.001345,35.306564,0.004677,0.281958,0.086966,-1.999292,0.079913,35.371185,-0.000206,0.27525,0.091847,-1.620429,-0.021319,28.116161,-0.006036,0.140856,0.093163,-1.607474,-0.083965,28.920585,-0.004895,0.162171,0.094687,-1.555495,0.024307,-0.000482,-0.0096,0.0534,-0.001345,34.570766,29.691529,47.540617,9674.754153,1.0,0.005606,0.974928,-0.222521,0.0,0.0,0.0,0.616734,-0.138478,0.297194,0.115196,0.13707,0.480591
