id,epoch,dir,entry,exit,pnl,hold,reason,chop,topSameDir,blenderProb,volRegime,slMult,tpMult,ns
1,1787586960,LONG,99.5153,99.55291,0.0378,1,TP,63.05,4,0.643,mid,2,0.4,0.4
2,1787609160,LONG,101.7146,101.75655,0.0412,2,TP,61.44,4,0.565,low,1.5,0.44000000000000006,0.439
3,1787611560,LONG,101.1221,101.16067,0.0381,1,TP,55.37,6,0.726,mid,2,0.4,0.208
4,1787626860,LONG,101.3387,101.3387,0,0,HORIZON,63.84,4,0.59,mid,2,0.4,0.521
5,1787629260,SHORT,100.7122,100.67601,0.0359,2,TP,68.34,4,0.58,high,2.3,0.36000000000000004,-0.202
6,1787649360,SHORT,99.204,99.39247,-0.19,2,SL,46.11,3,0.623,mid,2,0.4,-0.257
7,1787692860,LONG,100.4904,100.5275,0.0369,2,TP,57.48,4,0.558,low,1.5,0.44000000000000006,0.17
8,1787696760,SHORT,99.5235,99.4855,0.0382,1,TP,59.44,4,0.611,mid,2,0.4,-0.327
9,1787698560,LONG,99.1993,99.23629,0.0373,3,TP,50.99,8,0.763,mid,2,0.4,0.239
10,1787698860,LONG,99.1851,99.06238,-0.1237,2,SL,48.24,8,0.771,low,1.5,0.44000000000000006,0.265
11,1787699160,LONG,99.0254,99.06153,0.0365,2,TP,43.35,9,0.755,low,1.5,0.44000000000000006,0.176
12,1787728560,LONG,97.3483,97.38053,0.0331,2,TP,51.85,5,0.604,high,2.3,0.36000000000000004,0.152
13,1787747760,LONG,97.5713,97.60653,0.0361,1,TP,61.56,9,0.842,low,1.5,0.44000000000000006,0.138
14,1787750160,SHORT,98.2899,98.25289,0.0377,1,TP,52.68,5,0.716,mid,2,0.4,-0.15
15,1787766660,SHORT,98.5182,98.64906,-0.1328,3,SL,51.62,9,0.755,low,1.5,0.44000000000000006,-0.125
16,1787772360,LONG,97.1761,97.21297,0.0379,1,TP,59.19,8,0.711,high,2.3,0.36000000000000004,0.108
17,1787774460,LONG,98.1301,98.16851,0.0391,1,TP,44.07,2,0.595,low,1.5,0.44000000000000006,0.654
18,1787802360,LONG,95.8509,95.88743,0.0381,1,TP,59.34,6,0.714,mid,2,0.4,0.152
19,1787824260,LONG,95.7799,95.81326,0.0348,1,TP,61.41,10,0.735,mid,2,0.4,0.185
