id,epoch,dir,entry,exit,pnl,hold,reason,chop,topSameDir,blenderProb,volRegime,slMult,tpMult,ns
1,1787585160,SHORT,99.3114,99.27382,0.0378,1,TP,51.89,2,0.436,mid,2,0.4,-0.163
2,1787585760,LONG,99.265,99.30241,0.0377,1,TP,48.38,2,0.384,mid,2,0.4,0.377
3,1787586960,LONG,99.5153,99.55291,0.0378,1,TP,63.05,4,0.643,mid,2,0.4,0.4
4,1787590860,LONG,100.0356,99.84211,-0.1934,3,SL,57.35,2,0.363,mid,2,0.4,0.323
5,1787595960,SHORT,99.5714,99.53945,0.0321,1,TP,53.8,2,0.373,extreme,2.7,0.27999999999999997,-0.118
6,1787596860,SHORT,99.7203,99.68051,0.0399,4,TP,51.52,2,0.422,low,1.5,0.44000000000000006,-0.418
7,1787603460,LONG,100.3586,100.39798,0.0392,2,TP,58.21,4,0.536,low,1.5,0.44000000000000006,0.159
8,1787606460,LONG,101.5198,101.55928,0.0389,1,TP,57.35,3,0.473,mid,2,0.4,0.213
9,1787607360,LONG,101.4433,101.48343,0.0396,1,TP,49.34,2,0.377,mid,2,0.4,0.107
10,1787609160,LONG,101.7146,101.75655,0.0412,2,TP,61.44,4,0.565,low,1.5,0.44000000000000006,0.439
11,1787610660,LONG,101.2658,101.30287,0.0366,1,TP,50.76,4,0.53,mid,2,0.4,0.157
12,1787611560,LONG,101.1221,101.16067,0.0381,1,TP,55.37,6,0.726,mid,2,0.4,0.208
13,1787619660,SHORT,100.9176,100.88105,0.0362,1,TP,49.45,2,0.477,mid,2,0.4,-0.395
14,1787626860,LONG,101.3387,101.3387,0,0,HORIZON,63.84,4,0.59,mid,2,0.4,0.521
15,1787629260,SHORT,100.7122,100.67601,0.0359,2,TP,68.34,4,0.58,high,2.3,0.36000000000000004,-0.202
16,1787633460,SHORT,100.0398,100.00306,0.0367,1,TP,55.42,2,0.421,low,1.5,0.44000000000000006,-0.337
17,1787637960,LONG,99.573,99.61078,0.0379,3,TP,53.7,2,0.378,mid,2,0.4,0.348
18,1787649360,SHORT,99.204,99.39247,-0.19,2,SL,46.11,3,0.623,mid,2,0.4,-0.257
19,1787652660,LONG,99.5716,99.43332,-0.1389,2,SL,58.79,2,0.424,low,1.5,0.44000000000000006,0.426
20,1787655960,SHORT,100.9265,100.9265,0,0,HORIZON,39.9,3,0.419,mid,2,0.4,-0.118
21,1787658060,LONG,101.2582,101.29778,0.0391,4,TP,53.16,3,0.401,mid,2,0.4,0.182
22,1787668260,SHORT,100.6554,100.6554,0,0,HORIZON,39.13,4,0.489,extreme,2.7,0.27999999999999997,-0.205
23,1787672160,SHORT,99.9912,99.9912,0,0,HORIZON,39.13,4,0.535,mid,2,0.4,-0.169
24,1787672760,SHORT,100.0746,100.03595,0.0386,1,TP,47.04,2,0.391,low,1.5,0.44000000000000006,-0.132
