id,epoch,dir,entry,exit,pnl,hold,reason,chop,topSameDir,blenderProb,volRegime,slMult,tpMult,ns
1,1787625120,LONG,119065.91,119065.91,0,0,HORIZON,55.11,3,0.594,extreme,2.7,0.27999999999999997,0.249
2,1787645220,LONG,118894.74,118920.00534,0.0213,3,TP,42.66,5,0.749,low,1.5,0.44000000000000006,0.27
3,1787646420,LONG,118711.65,118736.14541,0.0206,1,TP,56.6,8,0.83,high,2.3,0.36000000000000004,0.173
4,1787723220,LONG,113857.22,113773.9202,-0.0732,1,SL,37.1,6,0.717,low,1.5,0.44000000000000006,0.154
5,1787731620,LONG,113786.41,113811.09579,0.0217,1,TP,58.41,4,0.56,low,1.5,0.44000000000000006,0.213
6,1787741820,LONG,113607.78,113628.68437,0.0184,2,TP,49.16,4,0.612,extreme,2.7,0.27999999999999997,0.287
7,1787746920,LONG,113822.42,113755.04901,-0.0592,2,SL,53.04,6,0.754,low,1.5,0.44000000000000006,0.161
8,1787770020,LONG,114404.23,114323.33489,-0.0707,2,SL,60.4,6,0.757,low,1.5,0.44000000000000006,0.202
9,1787777520,LONG,115131.31,115053.04351,-0.068,1,SL,48.03,4,0.576,low,1.5,0.44000000000000006,0.121
10,1787785320,LONG,115043.77,115066.65096,0.0199,1,TP,48.94,4,0.599,mid,2,0.4,0.201
