id,epoch,dir,entry,exit,pnl,hold,reason,chop,topSameDir,blenderProb,volRegime,slMult,tpMult,ns
1,1787579820,LONG,119410.95,119436.68937,0.0216,1,TP,40.73,2,0.422,low,1.5,0.44000000000000006,0.47
2,1787591820,SHORT,119448.4,119421.91856,0.0222,2,TP,41.32,3,0.451,high,2.3,0.36000000000000004,-0.216
3,1787615220,LONG,118902.66,118928.5534,0.0218,1,TP,56.16,1,0.451,mid,2,0.4,0.463
4,1787620020,SHORT,118740.2,118716.15317,0.0203,1,TP,43.09,2,0.518,high,2.3,0.36000000000000004,-0.34
5,1787625120,LONG,119065.91,119065.91,0,0,HORIZON,55.11,3,0.594,extreme,2.7,0.27999999999999997,0.249
6,1787644320,LONG,119048.15,119073.39992,0.0212,1,TP,50.52,2,0.477,mid,2,0.4,0.291
7,1787645220,LONG,118894.74,118920.00534,0.0213,3,TP,42.66,5,0.749,low,1.5,0.44000000000000006,0.27
8,1787646420,LONG,118711.65,118736.14541,0.0206,1,TP,56.6,8,0.83,high,2.3,0.36000000000000004,0.173
9,1787647320,LONG,118517.24,118544.46977,0.023,1,TP,35.72,4,0.502,low,1.5,0.44000000000000006,0.235
10,1787654520,LONG,117262.63,117285.83305,0.0198,1,TP,48.05,2,0.401,low,1.5,0.44000000000000006,0.188
11,1787663520,LONG,116493.17,116520.40492,0.0234,2,TP,47.85,3,0.443,mid,2,0.4,0.142
12,1787664720,LONG,117041.46,117067.25978,0.022,1,TP,37.03,2,0.409,mid,2,0.4,0.259
13,1787670720,SHORT,115660.84,115637.70852,0.02,3,TP,43.65,1,0.408,mid,2,0.4,-0.364
14,1787675520,LONG,115056.67,115056.67,0,0,HORIZON,56.83,3,0.439,extreme,2.7,0.27999999999999997,0.331
15,1787675820,LONG,115013.82,115037.17299,0.0203,1,TP,56.79,3,0.412,high,2.3,0.36000000000000004,0.124
16,1787690520,SHORT,114615.98,114591.99926,0.0209,1,TP,41.15,3,0.469,mid,2,0.4,-0.179
17,1787691120,LONG,114579.88,114603.84298,0.0209,1,TP,64.45,3,0.43,mid,2,0.4,0.278
18,1787711220,LONG,114949.43,114807.30414,-0.1236,3,SL,54.86,2,0.408,high,2.3,0.36000000000000004,0.384
19,1787714220,LONG,114977.44,114977.44,0,0,HORIZON,50.26,1,0.49,mid,2,0.4,0.49
20,1787723220,LONG,113857.22,113773.9202,-0.0732,1,SL,37.1,6,0.717,low,1.5,0.44000000000000006,0.154
21,1787731620,LONG,113786.41,113811.09579,0.0217,1,TP,58.41,4,0.56,low,1.5,0.44000000000000006,0.214
22,1787741820,LONG,113607.78,113628.68437,0.0184,2,TP,49.16,4,0.612,extreme,2.7,0.27999999999999997,0.287
23,1787746020,LONG,113849.75,113871.78885,0.0194,1,TP,62.11,2,0.418,high,2.3,0.36000000000000004,0.751
24,1787746920,LONG,113822.42,113755.04901,-0.0592,2,SL,53.04,6,0.754,low,1.5,0.44000000000000006,0.161
25,1787756520,LONG,113478.29,113499.97382,0.0191,1,TP,54.04,3,0.422,high,2.3,0.36000000000000004,0.113
26,1787760720,LONG,114244.9,114267.65453,0.0199,1,TP,51.45,2,0.495,low,1.5,0.44000000000000006,0.55
27,1787761020,LONG,114349.07,114373.58041,0.0214,1,TP,48.13,1,0.425,low,1.5,0.44000000000000006,0.545
28,1787770020,LONG,114404.23,114323.33489,-0.0707,2,SL,60.4,6,0.757,low,1.5,0.44000000000000006,0.202
29,1787772720,LONG,114586.69,114609.9845,0.0203,1,TP,50.6,2,0.402,low,1.5,0.44000000000000006,0.145
30,1787774820,LONG,114411.87,114435.05484,0.0203,1,TP,46.6,4,0.501,high,2.3,0.36000000000000004,0.106
31,1787776620,LONG,115002.02,115024.94472,0.0199,1,TP,45.78,2,0.516,low,1.5,0.44000000000000006,0.151
32,1787777520,LONG,115131.31,115053.04351,-0.068,1,SL,48.03,4,0.577,low,1.5,0.44000000000000006,0.121
33,1787778720,SHORT,114698.61,114675.11905,0.0205,1,TP,45.11,3,0.517,mid,2,0.4,-0.2
34,1787780220,LONG,115017.29,115041.78777,0.0213,1,TP,56.6,3,0.517,mid,2,0.4,0.433
35,1787785320,LONG,115043.77,115066.65096,0.0199,1,TP,48.94,4,0.599,mid,2,0.4,0.201
36,1787805720,LONG,116797.71,116680.10981,-0.1007,4,SL,48.64,3,0.5,mid,2,0.4,0.304
37,1787806320,LONG,116704.41,116727.10544,0.0194,3,TP,50.58,2,0.413,low,1.5,0.44000000000000006,0.104
38,1787810520,LONG,117146.94,117172.66229,0.022,2,TP,53.88,2,0.54,extreme,2.7,0.27999999999999997,0.469
39,1787818920,LONG,118059.65,118082.64759,0.0195,4,TP,54.17,2,0.426,low,1.5,0.44000000000000006,0.218
40,1787819220,LONG,118130.19,118154.7976,0.0208,1,TP,56.4,1,0.471,low,1.5,0.44000000000000006,0.463
41,1787845920,LONG,119675.48,119701.75826,0.022,1,TP,38.15,3,0.414,mid,2,0.4,0.203
42,1787848020,LONG,120297.25,120322.31901,0.0208,1,TP,56.57,1,0.409,mid,2,0.4,0.206
43,1787850120,SHORT,120550.66,120525.37982,0.021,1,TP,41.25,4,0.547,low,1.5,0.44000000000000006,-0.147
