id,epoch,dir,entry,exit,pnl,hold,reason,chop,topSameDir,blenderProb,volRegime,slMult,tpMult,ns
1,1787583660,LONG,628.22,628.70465,0.0771,1,TP,50.54,8,0.72,mid,2,0.4,0.116
2,1787584560,LONG,627.33,627.83968,0.0812,1,TP,50.6,1,0.309,low,1.5,0.44000000000000006,0.344
3,1787585460,LONG,628.11,628.59405,0.0771,2,TP,54.87,1,0.319,mid,2,0.4,0.448
4,1787586960,LONG,631.95,630.32455,-0.2572,3,SL,47.93,2,0.588,low,1.5,0.44000000000000006,0.234
5,1787588460,LONG,639.5,637.01248,-0.389,4,SL,59.47,2,0.462,mid,2,0.4,0.509
6,1787592360,LONG,636.63,637.07714,0.0702,4,TP,55.11,3,0.508,mid,2,0.4,0.227
7,1787595060,LONG,641.48,641.9513,0.0735,1,TP,34.41,2,0.338,mid,2,0.4,0.395
8,1787598660,LONG,635.73,635.73,0,0,HORIZON,44.99,1,0.377,high,2.3,0.36000000000000004,0.421
9,1787600760,LONG,636.19,636.65008,0.0723,1,TP,56.63,1,0.306,mid,2,0.4,0.305
10,1787603460,LONG,619.79,620.27287,0.0779,1,TP,31.34,2,0.323,mid,2,0.4,0.152
11,1787604360,LONG,620.25,620.70994,0.0742,1,TP,61.99,1,0.312,low,1.5,0.44000000000000006,0.341
12,1787606460,LONG,611.85,612.31999,0.0768,1,TP,52.06,1,0.311,mid,2,0.4,0.251
13,1787607960,LONG,614.88,614.88,0,0,HORIZON,54.68,1,0.365,mid,2,0.4,0.452
14,1787611260,LONG,618.95,619.41097,0.0745,4,TP,50.54,2,0.475,high,2.3,0.36000000000000004,0.409
15,1787612460,LONG,618.04,618.48256,0.0716,1,TP,53.24,2,0.407,mid,2,0.4,0.439
16,1787615160,LONG,621.11,621.11,0,0,HORIZON,47.18,1,0.326,extreme,2.7,0.27999999999999997,0.239
17,1787616360,LONG,617.85,618.31856,0.0758,1,TP,50.05,1,0.309,mid,2,0.4,0.429
18,1787621460,LONG,629.56,630.003,0.0704,1,TP,51.75,1,0.326,extreme,2.7,0.27999999999999997,0.131
19,1787623560,LONG,640.49,640.95025,0.0719,1,TP,66.53,2,0.302,high,2.3,0.36000000000000004,0.103
20,1787623860,LONG,642.18,639.06477,-0.4851,3,SL,57.05,1,0.363,high,2.3,0.36000000000000004,0.508
21,1787625660,SHORT,634.11,633.63644,0.0747,3,TP,44.73,2,0.6,low,1.5,0.44000000000000006,-0.332
22,1787627760,LONG,629.32,629.80314,0.0768,1,TP,48.28,4,0.544,mid,2,0.4,0.115
23,1787632560,SHORT,629,628.62675,0.0593,1,TP,59.26,2,0.39,extreme,2.7,0.27999999999999997,-0.189
24,1787632860,LONG,629.19,627.44167,-0.2779,3,SL,58.82,3,0.456,low,1.5,0.44000000000000006,0.184
25,1787633760,LONG,626.35,624.70123,-0.2632,2,SL,44.89,3,0.474,low,1.5,0.44000000000000006,0.135
26,1787634360,LONG,624.67,625.14594,0.0762,1,TP,45.63,1,0.301,low,1.5,0.44000000000000006,0.105
27,1787638260,LONG,628.26,628.73039,0.0749,1,TP,51.92,2,0.354,high,2.3,0.36000000000000004,0.201
28,1787638860,SHORT,628.69,628.22539,0.0739,5,TP,43.04,1,0.32,mid,2,0.4,-0.61
29,1787641860,SHORT,630.2,630.2,0,0,HORIZON,61.76,2,0.43,low,1.5,0.44000000000000006,-0.363
30,1787643360,LONG,632.24,632.24,0,0,HORIZON,51.11,1,0.339,extreme,2.7,0.27999999999999997,0.699
31,1787645460,SHORT,632.85,632.394,0.0721,1,TP,51.42,3,0.446,high,2.3,0.36000000000000004,-0.189
