id,epoch,dir,entry,exit,pnl,hold,reason,chop,topSameDir,blenderProb,volRegime,slMult,tpMult,ns
1,1787581860,LONG,4768.062,4768.39525,0.007,1,TP,58.44,4,0.597,low,1.5,0.44000000000000006,0.383
2,1787591160,LONG,4768.594,4768.95167,0.0075,1,TP,56.56,5,0.711,mid,2,0.4,0.116
3,1787591760,SHORT,4770.716,4770.35733,0.0075,1,TP,46.74,6,0.663,low,1.5,0.44000000000000006,-0.225
4,1787598960,LONG,4771.439,4771.78805,0.0073,2,TP,60.11,3,0.561,low,1.5,0.44000000000000006,0.48
5,1787599560,LONG,4769.511,4767.3523,-0.0453,5,SL,46.27,7,0.63,high,2.3,0.36000000000000004,0.125
6,1787605860,LONG,4768.786,4769.13655,0.0074,2,TP,45.73,4,0.656,high,2.3,0.36000000000000004,0.177
7,1787613960,LONG,4772.747,4773.05986,0.0066,1,TP,45.27,4,0.639,high,2.3,0.36000000000000004,0.24
8,1787617560,LONG,4753.865,4754.22609,0.0076,1,TP,34.53,9,0.803,mid,2,0.4,0.16
9,1787627760,LONG,4749.005,4749.34111,0.0071,1,TP,52.58,5,0.759,low,1.5,0.44000000000000006,0.168
10,1787628060,LONG,4748.799,4747.1264,-0.0352,3,SL,56.95,6,0.72,mid,2,0.4,0.104
11,1787628360,LONG,4748.26,4748.59498,0.0071,1,TP,44.89,6,0.599,high,2.3,0.36000000000000004,0.13
12,1787629860,LONG,4751.04,4751.4167,0.0079,1,TP,62.1,4,0.593,mid,2,0.4,0.684
13,1787633160,SHORT,4755.131,4754.76173,0.0078,1,TP,54.07,7,0.728,mid,2,0.4,-0.101
14,1787654760,LONG,4768.799,4769.15313,0.0074,2,TP,51.39,4,0.565,high,2.3,0.36000000000000004,0.172
15,1787681460,LONG,4762.311,4759.82927,-0.0521,5,SL,46.37,8,0.709,extreme,2.7,0.27999999999999997,0.14
16,1787705760,LONG,4760.934,4761.28017,0.0073,1,TP,37.14,5,0.59,low,1.5,0.44000000000000006,0.127
17,1787720460,LONG,4761.388,4761.71698,0.0069,1,TP,43.44,9,0.739,high,2.3,0.36000000000000004,0.137
18,1787752560,LONG,4770.392,4770.7216,0.0069,1,TP,49.64,10,0.869,low,1.5,0.44000000000000006,0.122
19,1787757060,LONG,4764.935,4765.29014,0.0075,1,TP,51.65,10,0.756,mid,2,0.4,0.132
20,1787770560,LONG,4748.293,4748.6461,0.0074,1,TP,49.97,4,0.572,high,2.3,0.36000000000000004,0.203
21,1787770860,LONG,4747.747,4748.09555,0.0073,1,TP,49.54,8,0.767,high,2.3,0.36000000000000004,0.258
22,1787779560,LONG,4763.408,4763.67796,0.0057,2,TP,60.22,7,0.812,extreme,2.7,0.27999999999999997,0.206
23,1787811960,LONG,4753.927,4752.73394,-0.0251,2,SL,56.73,9,0.756,low,1.5,0.44000000000000006,0.12
24,1787815860,SHORT,4765.179,4764.84925,0.0069,1,TP,32.28,5,0.561,high,2.3,0.36000000000000004,-0.174
25,1787817660,LONG,4765.808,4764.58023,-0.0258,2,SL,62.65,4,0.574,low,1.5,0.44000000000000006,0.433
26,1787825460,LONG,4763.718,4764.0584,0.0071,2,TP,56.93,7,0.738,mid,2,0.4,0.118
27,1787836260,LONG,4757.548,4757.93807,0.0082,1,TP,66.09,4,0.598,mid,2,0.4,0.117
28,1787836560,LONG,4757.209,4755.86776,-0.0282,2,SL,61.26,6,0.748,low,1.5,0.44000000000000006,0.142
29,1787844360,LONG,4750.878,4751.25128,0.0079,1,TP,36.56,12,0.811,mid,2,0.4,0.124
30,1787847960,LONG,4757.381,4755.6329,-0.0367,4,SL,40.98,8,0.826,mid,2,0.4,0.16
