symbol,timeframe,strategy_id,strategy_name,status,trades,wins,losses,win_rate_pct,net_profit,total_return_pct,profit_factor,expectancy,max_drawdown_pct,sharpe,sortino,bars,error
XAUUSD,1h,macd_trend,MACD Trend Following,OK,10,2,8,20.0,28.98,0.29,1.0513155890703931,2.9,5.62,0.095,0.111,288,
XAUUSD,1h,rsi_reversal,RSI Mean Reversion,OK,14,10,4,71.43,1511.01,15.11,4.398712396617017,107.93,2.26,3.348,4.505,288,
XAUUSD,1h,bb_squeeze,Bollinger Band Squeeze,OK,21,16,5,76.19,2933.3,29.33,6.05578409862142,139.68,2.49,4.233,5.522,288,
XAUUSD,1h,adx_strength,ADX Strength Entry,OK,11,6,5,54.55,1271.75,12.72,3.3740260380497604,115.61,3.49,2.778,4.239,288,
XAUUSD,1h,ichimoku_trend,Ichimoku Cloud Trend,OK,42,14,28,33.33,646.03,6.46,1.221624385607408,15.38,7.51,0.942,1.583,288,
XAUUSD,1h,supertrend_follow,SuperTrend Follow,OK,0,0,0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,288,
XAUUSD,1h,elder_ray,Elder Ray Power,OK,27,18,9,66.67,3117.73,31.18,6.3194286764060275,115.47,2.42,5.182,8.374,288,
XAUUSD,1h,choppiness_reversal,Choppiness Reversal,OK,35,27,8,77.14,1711.06,17.11,5.237570188458582,48.89,1.49,4.564,5.651,288,
XAUUSD,1h,confluence_8,8-Indicator Confluence,OK,10,6,4,60.0,938.73,9.39,3.4045685535374095,93.87,1.99,2.535,2.558,288,
XAUUSD,1h,fisher_zscore,Fisher + Z-Score,OK,35,29,6,82.86,2066.06,20.66,8.191837807522495,59.03,1.17,5.497,7.034,288,
XAUUSD,1h,volume_breakout,Volume Breakout,OK,8,8,0,100.0,696.01,6.96,,87.0,0.47,3.351,2.229,288,
XAUUSD,1h,camarilla_breakout,Camarilla R3/S3 Breakout,OK,34,28,6,82.35,1088.42,10.88,3.045368371962671,32.01,2.39,2.934,3.317,288,
XAUUSD,1h,heikin_ashi_trend,Heikin-Ashi Trend Ride,OK,20,14,6,70.0,3133.08,31.33,16.448181028001546,156.65,1.34,6.715,9.543,288,
XAUUSD,1h,woodie_pivot_reversal,Woodie Pivot Reversal,OK,33,5,28,15.15,-1338.9,-13.39,0.3115214481830822,-40.57,14.57,-3.387,-3.625,288,
XAUUSD,1h,cci_extreme_reversal,CCI Extreme Reversal,OK,0,0,0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,288,
XAUUSD,1h,chandelier_trend_exit,Chandelier Trend Exit,OK,135,50,85,37.04,575.58,5.76,1.3437163708056834,4.26,4.02,1.434,2.506,288,
XAUUSD,1h,mfi_volume_reversal,MFI Volume Reversal,OK,12,5,7,41.67,238.7,2.39,1.45563900123344,19.89,3.08,0.904,1.004,288,
XAUUSD,1h,liquidity_sweep_reversal,Liquidity Sweep Reversal,OK,9,4,5,44.44,497.15,4.97,1.9653990697372075,55.24,2.24,1.321,1.018,288,
XAUUSD,1h,vortex_trend_cross,Vortex Trend Cross,OK,0,0,0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,288,
XAUUSD,1h,hurst_trend_persistence,Hurst Trend Persistence,OK,15,6,9,40.0,775.03,7.75,1.8445787406737748,51.67,5.15,1.743,2.853,288,
